"","Team","Team.Score","Opponent.Score","Team.Score.Mean","Opponent.Score.Mean","Team.Score.Var","Opponent.Score.Var","Loss","Win","WinRatio","Matches"
"289","Iowa",7038,6180,74.0842105263158,65.0526315789474,135.205599104143,171.497200447928,34,61,0.642105263157895,95
"290","Iowa St",7803,6921,80.4432989690722,71.3505154639175,102.624355670103,170.938359106529,25,72,0.742268041237113,97
"291","Iowa Wesleyan",204,370,51,92.5,162,73,4,0,0,4
"292","IPFW",6577,6313,70.7204301075269,67.8817204301075,201.573165030388,118.974988312295,40,53,0.56989247311828,93
"293","IU Kokomo",163,283,54.3333333333333,94.3333333333333,176.333333333333,34.3333333333333,3,0,0,3
"294","IUPUI",5904,6735,64.1739130434783,73.2065217391304,158.628762541806,147.967869087434,72,20,0.217391304347826,92
"295","Jackson St",5761,6089,64.0111111111111,67.6555555555556,125.674032459426,170.003620474407,58,32,0.355555555555556,90
"296","Jacksonville",6241,6798,68.5824175824176,74.7032967032967,168.290354090354,138.855433455433,57,34,0.373626373626374,91
"297","Jacksonville St",5638,5992,64.0681818181818,68.0909090909091,115.144723092999,116.221525600836,51,37,0.420454545454545,88
"298","James Madison",6122,6318,65.1276595744681,67.2127659574468,113.983527796843,145.438114847861,47,47,0.5,94
"299","Jarvis Chr",238,361,59.5,90.25,97.6666666666667,32.9166666666667,4,0,0,4
"300","Johnson Bib",51,130,51,130,0,0,1,0,0,1
"301","Johnson FL",41,97,41,97,0,0,1,0,0,1
"302","Johnson TN",89,205,44.5,102.5,12.5,924.5,2,0,0,2
